
> knowledge-server@1.0.0 dev
> tsx watch src/index.ts

[db] 内置知识点：新增 28，更新 0，移除 0
[server] 知识检索服务已启动: http://localhost:5174
[server] API: http://localhost:5174/api/entries
11:20:52 PM [tsx] change in ./src/app.ts Restarting...
11:20:57 PM [tsx] Process didn't exit in 5s. Force killing...
11:25:36 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
11:41:48 PM [tsx] change in ./src/knowledge-tree-import.ts Process hasn't exited. Killing process...
11:42:00 PM [tsx] change in ./src/db.ts Process hasn't exited. Killing process...
11:42:08 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
11:44:16 PM [tsx] change in ./src/db.ts Process hasn't exited. Killing process...
11:47:13 PM [tsx] change in ./src/knowledge-tree-import.ts Process hasn't exited. Killing process...
11:47:22 PM [tsx] change in ./src/db.ts Process hasn't exited. Killing process...
11:47:29 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
12:00:36 AM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
12:01:03 AM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
9:57:32 AM [tsx] change in ./src/blocks-import.ts Process hasn't exited. Killing process...
9:57:45 AM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
11:20:04 AM [tsx] change in ./src/blocks-import.ts Process hasn't exited. Killing process...
11:21:22 AM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
11:21:32 AM [tsx] change in ./src/db.ts Process hasn't exited. Killing process...
4:03:54 PM [tsx] change in ./src/index.ts Process hasn't exited. Killing process...
4:04:39 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
4:06:41 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
4:07:38 PM [tsx] change in ./src/ask.ts Process hasn't exited. Killing process...
4:27:11 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
4:52:05 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
5:34:15 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
5:43:27 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
5:51:52 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
9:46:40 PM [tsx] change in ./src/db.ts Process hasn't exited. Killing process...
9:56:05 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
11:07:02 PM [tsx] change in ./src/db.ts Process hasn't exited. Killing process...
11:09:18 PM [tsx] change in ./src/search.ts Process hasn't exited. Killing process...
illing process...
5:51:52 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
9:46:40 PM [tsx] change in ./src/db.ts Process hasn't exited. Killing process...
9:56:05 PM [tsx] change in ./src/app.ts Process hasn't exited. Killing process...
11:07:02 PM [tsx] change in ./src/db.ts Process hasn't exited. Killing process...
11:09:18 PM [tsx] change in ./src/search.ts Process hasn't exited. Killing process...
