
> knowledge-web@1.0.0 dev
> vite


  VITE v5.4.21  ready in 223 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: use --host to expose
4:49:24 PM [vite] hmr update /src/App.tsx
4:49:44 PM [vite] hmr update /src/App.tsx
4:49:57 PM [vite] hmr update /src/App.tsx
4:50:06 PM [vite] hmr update /src/App.tsx
4:50:21 PM [vite] hmr update /src/App.tsx
4:50:33 PM [vite] hmr update /src/components/SearchBox.tsx
4:50:47 PM [vite] hmr update /src/components/SearchBox.tsx
4:51:07 PM [vite] hmr update /src/components/SearchBox.tsx
4:51:24 PM [vite] hmr update /src/components/KeyPointsButton.tsx
4:52:26 PM [vite] hmr update /src/App.tsx, /src/components/AskModal.tsx, /src/components/FreeMode.tsx, /src/components/BlockEditor.tsx
4:52:51 PM [vite] hmr update /src/components/FreeMode.tsx
4:53:18 PM [vite] hmr update /src/styles.css
4:53:23 PM [vite] hmr update /src/components/FreeMode.tsx
4:53:56 PM [vite] hmr update /src/components/SearchBox.tsx
4:54:07 PM [vite] hmr update /src/components/SearchBox.tsx
4:54:18 PM [vite] hmr update /src/components/FreeMode.tsx
4:56:53 PM [vite] hmr update /src/styles.css
4:57:04 PM [vite] hmr update /src/components/SearchBox.tsx
4:57:15 PM [vite] hmr update /src/components/SearchBox.tsx
4:57:31 PM [vite] hmr update /src/components/SearchBox.tsx
4:57:44 PM [vite] hmr update /src/App.tsx
4:58:15 PM [vite] hmr update /src/App.tsx
4:58:35 PM [vite] hmr update /src/App.tsx
4:59:19 PM [vite] hmr update /src/components/TopBar.tsx
5:01:33 PM [vite] hmr update /src/styles.css
5:02:35 PM [vite] hmr update /src/components/FreeMode.tsx
